generation,best_fitness,median_tree_size
0,5.68144,14
1,0.673261,11
2,0.435084,14
3,0.435084,15
4,0.435084,18
5,0.435084,17
6,0.435084,15
7,0.435084,14
8,0.435084,15
9,0.435084,15
10,0.435084,17
11,0.425131,18
12,0.425131,18
13,0.425131,16
14,0.424749,14
15,0.424749,18
16,0.424749,14
17,0.424749,16
18,0.424749,20
19,0.424749,24
20,0.424482,25
21,0.424482,27
22,0.408073,28
23,0.408073,27
24,0.408073,26
25,0.408073,27
26,0.408073,26
27,0.408073,26
28,0.408073,28
29,0.408073,27
30,0.408073,27
31,0.408073,27
32,0.408073,27
33,0.408073,27
34,0.408073,27
35,0.408073,27
36,0.408073,27
37,0.408073,27
38,0.408073,27
39,0.408073,28
40,0.408073,27
41,0.408073,27
42,0.408073,27
43,0.408073,27
44,0.408073,27
45,0.408073,27
46,0.408073,27
47,0.408073,27
48,0.408073,28
49,0.408073,27
50,0.408073,27
51,0.408073,27
52,0.408073,27
53,0.408073,27
54,0.408073,27
55,0.408073,27
56,0.408073,27
57,0.408073,27
58,0.408073,27
59,0.408073,27
60,0.408073,27
61,0.408073,27
62,0.408073,27
63,0.408073,27
64,0.408073,27
65,0.408073,27
66,0.408073,27
67,0.408073,27
68,0.408073,27
69,0.408073,27
70,0.408073,27
71,0.408073,27
72,0.408073,27
