Test Case,G100_P100,G100_P200,G100_P500,G200_P100,G200_P200,G200_P500,G500_P100,G500_P200,G500_P500
Exp(x),0.97,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Ln(x),0.17,0.33,0.40,0.20,0.33,0.40,0.20,0.37,0.40
Addition,0.00,0.03,0.00,0.00,0.03,0.00,0.00,0.03,0.00
Exp Comp.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sin+Cos,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sinh(x),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Arctan(x),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
x^x,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sigmoid,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Polynomial,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nested I,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nested II,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
