Test Case,G100_P100,G100_P200,G100_P500,G200_P100,G200_P200,G200_P500,G500_P100,G500_P200,G500_P500
Exp(x),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Ln(x),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Addition,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Exp Comp.,0.63,0.60,0.83,0.67,0.63,0.83,0.67,0.63,0.83
Sin+Cos,0.20,0.30,0.57,0.33,0.40,0.57,0.33,0.40,0.60
Sinh(x),0.97,1.00,0.97,0.97,1.00,0.97,0.97,1.00,0.97
Arctan(x),0.90,1.00,1.00,0.90,1.00,1.00,0.90,1.00,1.00
x^x,0.40,0.47,0.63,0.43,0.53,0.67,0.43,0.53,0.67
Sigmoid,0.10,0.10,0.13,0.10,0.10,0.13,0.10,0.10,0.13
Polynomial,0.93,1.00,1.00,0.93,1.00,1.00,0.93,1.00,1.00
Nested I,0.03,0.00,0.00,0.03,0.00,0.00,0.03,0.00,0.00
Nested II,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
