Test ID,Test Case,Std Error,EML Error,Std Nodes,EML Nodes,Std Gens,EML Gens,Std Status,EML Status,Std Formula,EML Formula
1.1,Phase 1: f(x) = exp(x),0.000000,0.000000,2,3,0,0,CONVERGED,CONVERGED,exp(x),exp(x)
1.2,Phase 1: f(x) = ln(x),0.000000,0.000017,2,21,0,180,CONVERGED,BUDGET EXHAUSTED,log(x),exp(x) - log((-x*log(exp(x) - log((-(exp(x) - log(x))*log(exp(x) - log(E - log(E - log(x)))) + exp(exp(x)))/(exp(x) - log(x)))) + exp(exp(x)))/x)
1.3,"Phase 1: f(x1, x2) = x1 + x2",0.000000,5.681927,9,117,0,180,CONVERGED,BUDGET EXHAUSTED,(((x1 + x1) + (x2 * 1.0)) - x1),-log(E - log(-log(E - log(-log(E - log(exp(exp(x2)) - log(exp(x2) - log(E - log(x1))))) + exp(-1)*exp(exp(E)/(-1 + exp(E))))) + exp(E)/(-log(-log(-log(x2) + exp(exp(E))/x2) + exp(exp(E)/(E - log(x2)))/(E - log(E - log(x1)))) + exp(E)))) + exp(exp(x1))/(-log(-log(-log(-log(-log(-x2 + exp(exp(x1))) + exp(exp(E)/x2)/(exp(x2) - log(x2))) + exp(exp(E))/x2) + exp(exp(x2))/(-log(-1 + E) + exp(exp(x1))/x2)) + exp(E)/(exp(exp(exp(E)/x1)/(E - log(x1))) - log(exp(exp(exp(x2))/x1)/(exp(x2) - log(x1))))) + exp(exp(x1))/x1)
1.4,Phase 1: f(x) = exp(x) * exp(-x^2)  [EML home territory],0.020944,0.020001,50,45,40,190,BUDGET EXHAUSTED,BUDGET EXHAUSTED,exp(((((((x / 1.0) / (x + 1.0)) + exp(1.0)) / (log(1.0) * ((x + log((1.0 * 1.0))) * ((log(x) * x) * x)))) + x) - exp(exp(((x * ((1.0 + (1.0 + x)) / ((x * 1.0) + 1.0))) - (1.0 + 1.0)))))),E - log(-log(-((log(-log(exp(x) - log(-x + exp(x))) + exp(E)) - E)*log((-exp(exp(x)) - (1 - E)*log(E - log(E - log(E - exp(x)))))/(1 - E)) + exp(exp(E)/(exp(x) - log(x))))/(log(-log(exp(x) - log(-x + exp(x))) + exp(E)) - E)) + exp(E))
2.1,Phase 2: f(x) = sin(x) + cos(x),0.047011,0.323368,10,11,40,199,BUDGET EXHAUSTED,BUDGET EXHAUSTED,sin((x + tan(sin(cos(tan(sin(sin(x)))))))),exp(x) - log((-x*(log(x) - E) - exp(exp(x)))/(log(x) - E))
3.1,Phase 3: f(x) = sinh(x),0.000000,0.546133,2,25,0,199,CONVERGED,BUDGET EXHAUSTED,sinh(x),(-x*exp(E) - (x**2 - exp(E))*log(-((1 - exp(exp(x)))*log(E - log(E - log(x))) + exp(exp(x)))/(1 - exp(exp(x)))))/(x**2 - exp(E))
3.2,Phase 3: f(x) = arctan(x),0.000008,0.781073,12,69,80,160,BUDGET EXHAUSTED,BUDGET EXHAUSTED,atan((x / sin((1.0 + atan(cos(sin(sin(tan(x))))))))),exp(exp(x))/(-exp(-1)*exp(exp(exp(x))) + exp(exp(exp(exp(exp(exp(exp(x))))/(exp(exp(x)) - log(x)))/(-log(x) + exp(exp(E))/(exp(x) - log(x))))/x)/(exp(-1)*exp(exp(exp(-1)*exp(exp(exp(x))))) - log(-log(exp(exp(exp(x))) - log(-x + exp(x))) + exp(E))))
3.3,Phase 3: f(x) = x^x,0.000000,1.718258,5,77,10,170,CONVERGED,BUDGET EXHAUSTED,exp((x * log(x))),exp(x) - log(-log(-log(-log(-log(-log(exp(x) - log(x)) + exp(exp(x))/x) + exp(E)*exp(-x)) + exp(exp(exp(-1)*exp(E))/(-x + exp(exp(x))/(E - log(x))))/(-log(-log(exp(exp(x)) - 1) + exp(E)) + exp(exp(x))/(-log(exp(x) - log(x)) + exp(E)))) + exp(exp(x))/(-log(exp(x) - log(exp(exp(x)) - 1)) + exp(exp(E)/x)/(E - log(x)))) + exp(E))
3.4,Phase 3: f(x) = 1 / (1 + exp(-x))  [sigmoid],0.000000,0.047686,39,71,10,190,CONVERGED,BUDGET EXHAUSTED,(exp((log(1.0) / log((exp(x) / (1.0 - x))))) / ((1.0 - (((1.0 - ((1.0 + 1.0) - (1.0 - 1.0))) / exp(x)) - log(exp((log((1.0 * 1.0)) - exp(x)))))) + exp(x))),exp(exp(E)/(-log(-log(-log(-x + exp(-x)*exp(exp(E))) + exp(-x)*exp(exp(-x)*exp(exp(x)))) + exp(exp(exp(exp(x))/(exp(x) - log(x))))/(-log(-1 + exp(E)/x) + exp(-x)*exp(exp(x)))) + exp(exp(exp(-1)*exp(exp(x))))/(exp(-1)*exp(exp(x)) - log(E - log(E - log(x))))))/(E - log(x))
3.5,Phase 3: f(x) = x^3 - 2x^2 + x  [EML stress: integer powers],0.000000,391.879428,53,199,0,199,CONVERGED,BUDGET EXHAUSTED,((x + ((x * x) - (x * (((1.0 * 1.0) * x) + ((((1.0 - 1.0) + (x - x)) / ((1.0 * 1.0) / (x / x))) + (1.0 * x)))))) * ((1.0 - (x - 1.0)) + (((1.0 - x) + (x - x)) / ((x - 1.0) / 1.0)))),-log(-log(-log(-log(x) + exp(E)/(-1 + exp(E)/(E - log(x)))) + exp(E)/(-log(exp(x) - log(E - x)) + exp(exp(x))/x)) + exp(E)/(exp(x) - exp(exp(x)) + 1)) + exp(exp(exp(exp(E)*exp(-exp(exp(E)/x)/(E - log(x)))*exp(exp(exp(x))/(-log(-x + exp(E)/x) + exp(-x)*exp(exp(x)))))/(-x*exp(x*exp(-exp(exp(E)/x)/(E - log(x)))*exp(exp(exp(x))/(-log(-x + exp(E)/x) + exp(-x)*exp(exp(x))))) + exp(x*exp(-exp(exp(E)/x)/(E - log(x)))*exp(exp(exp(x))/(-log(-x + exp(E)/x) + exp(-x)*exp(exp(x)))))*exp(exp(x))/(-log(x) + exp(exp(exp(x)))/(exp(x) - log(x)))))/(-log(E - log(exp(exp(E)/x)/(E - log(x)))) + exp(E*exp(-exp(E)/x)*exp(exp(exp(-1)*exp(exp(x)))/(-log(exp(x) - log(x)) + exp(E))))/(-log(-1 + exp(E)) + exp(exp(x))/(-x + exp(exp(x))))))/(exp(-1)*exp(exp(exp(exp(exp(exp(x)))/(exp(x) - log(x)))/(-x + exp(exp(x))))/(E - log(-x + exp(exp(x))/x))) - log(exp(exp(exp(exp(x))/(E - log(exp(x) - log(x))))) - log(-log(x) + exp(E)/(-x + exp(E)))))
