Test ID,Test Case,Std Mean Err,Std StdDev Err,EML Mean Err,EML StdDev Err,Std Med Nodes,EML Med Nodes,Std Converge Rate,EML Converge Rate
1.1,Phase 1: f(x) = exp(x),0.000000,0.000000,0.000000,0.000000,2.0,3.0,1.000,1.000
1.2,Phase 1: f(x) = ln(x),0.000000,0.000000,0.000007,0.000017,2.0,11.0,1.000,0.400
1.3,"Phase 1: f(x1, x2) = x1 + x2",0.000000,0.000000,6.919290,0.677836,5.0,47.0,1.000,0.000
1.4,Phase 1: f(x) = exp(x) * exp(-x^2)  [EML home territory],0.000127,0.000498,0.057218,0.032118,16,53,0.833,0.000
2.1,Phase 2: f(x) = sin(x) + cos(x),0.002115,0.009130,0.183200,0.008954,16,39.0,0.567,0.000
3.1,Phase 3: f(x) = sinh(x),0.000000,0.000001,1.439706,1.381732,2.0,55.0,0.967,0.000
3.2,Phase 3: f(x) = arctan(x),0.000000,0.000000,0.301716,0.105425,2.0,51,1.000,0.000
3.3,Phase 3: f(x) = x^x,0.011204,0.029889,1.392942,0.824670,16.0,51.0,0.667,0.000
3.4,Phase 3: f(x) = 1 / (1 + exp(-x))  [sigmoid],0.000887,0.001354,0.012044,0.010755,51,49,0.133,0.000
3.5,Phase 3: f(x) = x^3 - 2x^2 + x  [EML stress: integer powers],0.000000,0.000000,FAIL,FAIL,38.0,FAIL,1.000,0.000
4.1,Phase 4: f(x) = exp(sin(x)) + ln(x^2 + 1),0.044319,0.111226,0.417979,0.179045,55.5,48.0,0.000,0.000
4.2,"Phase 4: f(x1, x2) = sin(x1*exp(x2)) - cos(ln(x1^2+x2^2+0.1))",0.279269,0.100250,0.441142,0.127201,29,69.0,0.000,0.000
