Test,Algorithm,Conv G=100,Conv G=200,Conv G=500,First-conv gen med,First-conv gen p90,First-conv gen max,Fail term G=100,Fail term G=200,Fail term G=500
Exp(x),Std-GP,90,90,90,0,0,3,—,—,—
Exp(x),EML-GP,89,90,90,0,16,67,42 [42–42],—,—
Ln(x),Std-GP,90,90,90,0,1,6,—,—,—
Ln(x),EML-GP,27,28,29,1,44,467,99 [99–99],199 [199–199],499 [349–499]
Addition,Std-GP,90,90,90,0,4,9,—,—,—
Addition,EML-GP,1,1,1,95,95,95,99 [99–99],199 [199–199],365 [167–499]
Exp Comp.,Std-GP,62,64,64,9,33,158,99 [87–99],119 [89–145],119 [89–145]
Exp Comp.,EML-GP,0,0,0,—,—,—,99 [99–99],199 [199–199],499 [203–499]
Sin+Cos,Std-GP,32,39,40,11,109,275,99 [99–99],154 [104–199],151 [103–210]
Sin+Cos,EML-GP,0,0,0,—,—,—,99 [99–99],199 [168–199],351 [167–499]
Sinh(x),Std-GP,88,88,88,0,2,57,87 [85–88],87 [85–88],87 [85–88]
Sinh(x),EML-GP,0,0,0,—,—,—,99 [99–99],199 [199–199],417 [235–499]
Arctan(x),Std-GP,87,87,87,0,3,4,99 [99–99],126 [117–152],126 [117–152]
Arctan(x),EML-GP,0,0,0,—,—,—,99 [99–99],199 [199–199],371 [209–499]
x^x,Std-GP,45,49,49,11,67,198,99 [99–99],156 [115–199],156 [115–204]
x^x,EML-GP,0,0,0,—,—,—,99 [99–99],199 [199–199],499 [233–499]
Sigmoid,Std-GP,10,10,10,8,17,17,99 [95–99],129 [95–190],129 [95–187]
Sigmoid,EML-GP,0,0,0,—,—,—,99 [99–99],199 [199–199],467 [223–499]
Polynomial,Std-GP,88,88,88,5,12,50,86 [79–92],105 [89–121],105 [89–121]
Polynomial,EML-GP,0,0,0,—,—,—,99 [99–99],185 [91–199],183 [91–292]
Nested I,Std-GP,1,1,1,52,52,52,99 [99–99],199 [159–199],200 [159–267]
Nested I,EML-GP,0,0,0,—,—,—,99 [99–99],199 [199–199],499 [290–499]
Nested II,Std-GP,0,0,0,—,—,—,99 [96–99],126 [96–175],126 [96–175]
Nested II,EML-GP,0,0,0,—,—,—,99 [99–99],199 [113–199],210 [107–499]
