generation,best_fitness,median_tree_size
0,4.049938,63
1,3.160368,35
2,3.160368,11
3,3.160368,5
4,3.088628,7
5,3.088628,7
6,3.031798,9
7,2.81437,11
8,2.679012,13
9,2.679012,15
10,2.41752,15
11,2.41752,19
12,2.41752,27
13,2.409628,33
14,2.409628,35
15,2.409628,39
16,2.333013,39
17,2.333013,49
18,2.333013,45
19,2.330861,43
20,2.330861,43
21,2.330861,55
22,2.319356,63
23,2.277101,89
24,2.277101,87
25,2.181231,85
26,1.696085,99
27,1.696085,123
28,1.696085,165
29,1.696085,181
30,1.696085,179
31,1.696085,167
32,1.696085,175
33,1.696085,181
34,1.696085,293
35,1.696085,365
36,1.696085,351
37,1.696085,335
38,1.696085,343
39,1.696085,367
40,1.696085,505
41,1.696085,533
42,1.696085,537
43,1.696085,559
44,1.696085,555
