generation,best_fitness,median_tree_size
0,0.172556,24
1,0.172556,13
2,0.172556,14
3,0.172556,12
4,0.109435,14
5,0.072888,11
6,0.072888,13
7,0.072888,12
8,0.072888,18
9,0.043347,28
10,0.043347,29
11,0.016061,36
12,0.016061,48
13,0.016061,49
14,0.016061,51
15,0.016061,51
16,0.016061,51
17,0.016061,53
18,0.010476,55
19,0.010476,60
20,0.008991,71
21,0.008991,86
22,0.008991,88
23,0.008417,90
24,0.008417,103
25,0.00712,113
26,0.00712,123
27,0.00712,132
28,0.006562,140
29,0.006562,190
30,0.006562,192
31,0.006562,192
32,0.006562,187
33,0.006562,192
34,0.006562,180
35,0.006562,166
36,0.006434,176
37,0.006434,177
38,0.006434,244
39,0.006434,303
40,0.006265,290
41,0.006265,267
42,0.006265,323
43,0.005858,312
44,0.005858,286
45,0.005739,299
46,0.005739,382
47,0.005739,325
48,0.005739,399
49,0.00512,423
50,0.00512,427
51,0.00512,457
52,0.00512,472
53,0.00512,421
54,0.00512,376
55,0.00512,366
56,0.00512,374
57,0.004891,421
58,0.004891,362
59,0.004891,359
60,0.004453,349
61,0.004448,336
62,0.004448,391
63,0.003665,372
64,0.003665,545
65,0.003665,387
66,0.003663,526
67,0.003663,531
68,0.003663,527
69,0.00364,529
70,0.003584,530
71,0.003584,533
72,0.003381,573
73,0.003381,571
74,0.003058,567
75,0.003058,558
76,0.003058,621
77,0.003058,833
78,0.003058,689
79,0.003058,601
80,0.003058,685
81,0.002879,793
82,0.002879,857
83,0.002879,817
84,0.002879,743
85,0.002879,622
86,0.002879,615
87,0.002879,637
88,0.002854,624
89,0.002854,687
90,0.002799,730
91,0.002799,722
92,0.002793,723
93,0.00279,774
94,0.00279,772
95,0.00279,794
96,0.00279,764
97,0.00279,766
98,0.002786,750
99,0.002759,789
100,0.002757,813
101,0.002743,830
102,0.002743,887
103,0.002743,874
104,0.002743,903
105,0.002668,917
106,0.002668,917
107,0.002668,930
108,0.002668,948
109,0.002657,1105
110,0.002631,1116
111,0.002542,1117
