Test ID,Test Case,Std Error,EML Error,Std Nodes,EML Nodes,Std Gens,EML Gens,Std Status,EML Status,Std Formula,EML Formula
1.1,Phase 1: f(x) = exp(x),0.000000,0.000000,2,3,0,0,CONVERGED,CONVERGED,exp(x),exp(x)
1.2,Phase 1: f(x) = ln(x),0.000000,0.000000,2,7,0,0,CONVERGED,CONVERGED,log(x),-log(1/x)
1.3,"Phase 1: f(x1, x2) = x1 + x2",0.000000,8.336469,3,1,0,10,CONVERGED,BUDGET EXHAUSTED,(x1 + x2),x2
1.4,Phase 1: f(x) = exp(x) * exp(-x^2)  [EML home territory],FAIL,0.131654,,197,200,199,TIMEOUT,BUDGET EXHAUSTED,TIMEOUT,E - log(-log(-log(x) + exp(E)/(E - log(-log(-log(x) + exp(exp(x))/(exp(exp(exp(E)/(-log(x) + exp(E)))) - log(-log(-log(x) + exp(E)/(-log(-log(-log(x) + exp(exp(x))/x) + exp(E)) + exp(exp(exp(E))/(-log(x) + exp(exp(exp(E)/(-log(x) + exp(E)/(-log(-log(x) + exp(exp(E))/x) + exp(exp(exp(E))))))/(exp(exp(x)) - log(x)))/(E - log(exp(exp(exp(E))/x) - log(-1 + exp(exp(x))/(exp(exp(exp(E)/(-log(x) + exp(-1)*exp(E)))) - log(x)))))))/(E - log(-log(-log(E - log(exp(exp(E)/(-log(x) + exp(E)/(-log(x) + exp(E)/(-log(-log(x) + exp(E)/(exp(exp(exp(E)/(-log(x) + exp(E)))) - log(x))) + exp(E))))) - log(x))) + exp(E)/(-log(x) + exp(exp(exp(exp(E)/(-log(x) + exp(E)/(-exp(x) - log(1/(exp(exp(exp(E)/(-log(x) + exp(E)))) - log(x))) + exp(E))))))/x)) + exp(E))))) + exp(E)))) + exp(E)))) + exp(E))
2.1,Phase 2: f(x) = sin(x) + cos(x),FAIL,FAIL,,,200,200,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
3.1,Phase 3: f(x) = sinh(x),0.000000,FAIL,4,,0,200,CONVERGED,TIMEOUT,sinh((1.0 * x)),TIMEOUT
3.2,Phase 3: f(x) = arctan(x),0.000000,FAIL,2,,0,200,CONVERGED,TIMEOUT,atan(x),TIMEOUT
3.3,Phase 3: f(x) = x^x,FAIL,FAIL,,,200,200,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
3.4,Phase 3: f(x) = 1 / (1 + exp(-x))  [sigmoid],0.000000,FAIL,19,,10,200,CONVERGED,TIMEOUT,(x / (x + ((x / (log(1.0) + exp((x / 1.0)))) - (1.0 - log(exp(1.0)))))),TIMEOUT
3.5,Phase 3: f(x) = x^3 - 2x^2 + x  [EML stress: integer powers],0.000000,FAIL,21,,0,200,CONVERGED,TIMEOUT,(((((1.0 / 1.0) - (x + 1.0)) * ((1.0 * x) - 1.0)) + (1.0 - 1.0)) * (1.0 - x)),TIMEOUT
