Test ID,Test Case,Std Mean Err,Std StdDev Err,EML Mean Err,EML StdDev Err,Std Med Nodes,EML Med Nodes,Std Converge Rate,EML Converge Rate
1.1,Phase 1: f(x) = exp(x),0.000000,0.000000,0.000000,0.000000,2.0,3.0,1.000,1.000
1.2,Phase 1: f(x) = ln(x),0.000000,0.000000,0.000005,0.000014,2.0,7.0,1.000,0.767
1.3,"Phase 1: f(x1, x2) = x1 + x2",0.000000,0.000000,8.198015,0.439750,5.0,1.0,1.000,0.000
1.4,Phase 1: f(x) = exp(x) * exp(-x^2)  [EML home territory],0.013796,0.025114,0.136290,0.100352,35.0,207.0,0.467,0.000
2.1,Phase 2: f(x) = sin(x) + cos(x),0.015675,0.021866,0.297902,0.177724,175,386.0,0.200,0.000
3.1,Phase 3: f(x) = sinh(x),0.000000,0.000000,5.095420,2.119892,2.0,1.0,1.000,0.000
3.2,Phase 3: f(x) = arctan(x),0.000000,0.000000,0.478950,0.306647,2.0,415,1.000,0.000
3.3,Phase 3: f(x) = x^x,0.294026,0.519696,1.883164,0.494849,58.5,177.0,0.333,0.000
3.4,Phase 3: f(x) = 1 / (1 + exp(-x))  [sigmoid],0.004309,0.007761,0.031481,0.032688,285.5,369,0.167,0.000
3.5,Phase 3: f(x) = x^3 - 2x^2 + x  [EML stress: integer powers],0.133334,0.730297,361.230180,142.777518,43.0,305,0.933,0.000
4.1,Phase 4: f(x) = exp(sin(x)) + ln(x^2 + 1),0.217170,0.212019,0.531542,0.219484,471.5,365,0.000,0.000
4.2,"Phase 4: f(x1, x2) = sin(x1*exp(x2)) - cos(ln(x1^2+x2^2+0.1))",0.342869,0.074101,0.379379,0.048452,328.0,260.0,0.000,0.000
