Test,Algorithm,Conv G=100,Conv G=200,Conv G=500,First-conv gen med,First-conv gen p90,First-conv gen max,Fail term G=100,Fail term G=200,Fail term G=500
Exp(x),Std-GP,90,90,90,0,0,2,—,—,—
Exp(x),EML-GP,90,90,90,0,2,3,—,—,—
Ln(x),Std-GP,90,90,90,0,1,2,—,—,—
Ln(x),EML-GP,74,74,74,3,8,91,99 [99–99],185 [144–199],192 [144–361]
Addition,Std-GP,90,90,90,0,2,4,—,—,—
Addition,EML-GP,2,2,2,32,33,33,99 [99–99],199 [199–199],499 [499–499]
Exp Comp.,Std-GP,55,55,55,6,16,23,99 [74–99],116 [74–137],116 [74–140]
Exp Comp.,EML-GP,0,0,0,—,—,—,99 [66–99],109 [68–172],112 [66–174]
Sin+Cos,Std-GP,37,37,37,4,14,20,99 [75–99],95 [74–144],104 [74–148]
Sin+Cos,EML-GP,0,0,0,—,—,—,99 [65–99],96 [63–129],99 [63–139]
Sinh(x),Std-GP,89,89,89,0,2,14,78 [78–78],78 [78–78],78 [78–78]
Sinh(x),EML-GP,0,0,0,—,—,—,99 [99–99],199 [129–199],499 [129–499]
Arctan(x),Std-GP,90,90,90,0,1,11,—,—,—
Arctan(x),EML-GP,0,0,0,—,—,—,99 [66–99],104 [68–148],102 [66–147]
x^x,Std-GP,36,36,36,4,17,23,99 [72–99],97 [72–129],97 [72–131]
x^x,EML-GP,0,0,0,—,—,—,99 [72–99],118 [72–161],118 [70–165]
Sigmoid,Std-GP,17,17,17,10,14,17,99 [73–99],98 [73–126],98 [70–126]
Sigmoid,EML-GP,0,0,0,—,—,—,99 [64–99],107 [64–144],107 [63–142]
Polynomial,Std-GP,88,88,88,5,11,41,75 [63–87],109 [80–138],109 [80–138]
Polynomial,EML-GP,0,0,0,—,—,—,99 [57–99],106 [57–147],106 [38–147]
Nested I,Std-GP,0,0,0,—,—,—,99 [68–99],101 [68–134],105 [67–134]
Nested I,EML-GP,0,0,0,—,—,—,99 [73–99],104 [73–153],103 [71–153]
Nested II,Std-GP,0,0,0,—,—,—,97 [58–99],96 [62–136],96 [64–136]
Nested II,EML-GP,0,0,0,—,—,—,99 [52–99],102 [61–144],102 [59–145]
