Test ID,Test Case,Std Mean Err,Std StdDev Err,EML Mean Err,EML StdDev Err,Std Med Nodes,EML Med Nodes,Std Converge Rate,EML Converge Rate
1.1,Phase 1: f(x) = exp(x),0.000000,0.000000,0.000000,0.000000,2.0,3.0,1.000,1.000
1.2,Phase 1: f(x) = ln(x),0.000000,0.000000,0.000000,0.000000,2.0,7.0,1.000,0.800
1.3,"Phase 1: f(x1, x2) = x1 + x2",0.000000,0.000000,7.962137,1.537480,3.0,1.0,1.000,0.033
1.4,Phase 1: f(x) = exp(x) * exp(-x^2)  [EML home territory],0.001311,0.005716,FAIL,FAIL,14,FAIL,0.600,0.000
2.1,Phase 2: f(x) = sin(x) + cos(x),0.003533,0.012206,FAIL,FAIL,10.0,FAIL,0.433,0.000
3.1,Phase 3: f(x) = sinh(x),0.000000,0.000000,6.051650,0.751363,2.0,1.0,1.000,0.000
3.2,Phase 3: f(x) = arctan(x),0.000000,0.000000,FAIL,FAIL,2.0,FAIL,1.000,0.000
3.3,Phase 3: f(x) = x^x,0.000593,0.002214,FAIL,FAIL,12.0,FAIL,0.367,0.000
3.4,Phase 3: f(x) = 1 / (1 + exp(-x))  [sigmoid],0.000407,0.000975,FAIL,FAIL,38.0,FAIL,0.133,0.000
3.5,Phase 3: f(x) = x^3 - 2x^2 + x  [EML stress: integer powers],0.000000,0.000000,FAIL,FAIL,33.0,FAIL,1.000,0.000
4.1,Phase 4: f(x) = exp(sin(x)) + ln(x^2 + 1),0.057104,0.082891,FAIL,FAIL,309,FAIL,0.000,0.000
4.2,"Phase 4: f(x1, x2) = sin(x1*exp(x2)) - cos(ln(x1^2+x2^2+0.1))",0.360402,0.106242,FAIL,FAIL,22.5,FAIL,0.000,0.000
