target_id,K_construction,K_proven,m_operators,regime,seed,converged,exact_hash_match,gens_to_converge,final_nmse,final_tree_size,terminal_state,wall_seconds
reviewer_ce,7,7,3,A,128182595,false,false,,1.989501172303584e-06,23,budget_exhausted,3.660648822784424
reviewer_ce,7,7,3,A,1845143962,true,true,92,0.0,7,converged,1.378154993057251
reviewer_ce,7,7,3,A,1683375127,true,true,42,0.0,7,converged,0.36084818840026855
reviewer_ce,7,7,3,A,893706906,true,true,10,0.0,7,converged,0.18326091766357422
reviewer_ce,7,7,3,A,449904892,true,true,2,0.0,7,converged,0.1474931240081787
reviewer_ce,7,7,3,A,1667643188,true,false,5,3.582460422701586e-07,9,converged,0.1932668685913086
reviewer_ce,7,7,3,B,128182595,false,false,,1.9648830301315994e-06,53,budget_exhausted,5.862781047821045
reviewer_ce,7,7,3,B,1845143962,true,true,10,0.0,7,converged,0.3791770935058594
reviewer_ce,7,7,3,A,1753007184,true,false,1,1.7660739105031782e-08,9,converged,0.1477980613708496
reviewer_ce,7,7,3,A,2107424273,false,false,,3.5981256329411253e-06,35,budget_exhausted,3.271851062774658
reviewer_ce,7,7,3,A,418825361,true,false,2,1.7660739105031782e-08,9,converged,0.11697506904602051
reviewer_ce,7,7,3,A,215858185,false,false,,2.5935928107869855e-06,7,budget_exhausted,3.7149741649627686
reviewer_ce,7,7,3,B,1683375127,false,false,,1.960484031043712e-06,23,budget_exhausted,4.822005987167358
reviewer_ce,7,7,3,B,893706906,false,false,,1.8616895958630266e-06,19,budget_exhausted,4.708281993865967
reviewer_ce,7,7,3,B,1753007184,false,false,,3.524696988366314e-06,63,budget_exhausted,7.252938985824585
reviewer_ce,7,7,3,B,2107424273,true,false,11,3.582460422701586e-07,9,converged,0.3684382438659668
K07_00,7,7,3,A,128182595,false,false,,1.0854924096415621e-05,155,budget_exhausted,2.104027271270752
K07_00,7,7,3,A,1845143962,false,false,,7.680911854855483e-06,57,budget_exhausted,1.656987190246582
K07_00,7,7,3,A,1683375127,false,false,,9.333917728890696e-06,87,budget_exhausted,12.917612075805664
K07_00,7,7,3,A,893706906,false,false,,1.0731534197013489e-05,107,budget_exhausted,8.802395105361938
reviewer_ce,7,7,3,B,418825361,false,false,,2.5399015047998494e-06,17,budget_exhausted,8.060790061950684
reviewer_ce,7,7,3,B,215858185,false,false,,2.5935928107869855e-06,7,budget_exhausted,9.47484803199768
reviewer_ce,7,7,3,B,449904892,false,false,,5.624720542036531e-06,41,budget_exhausted,8.735820055007935
reviewer_ce,7,7,3,B,1667643188,true,false,1,3.582460422701586e-07,9,converged,0.12546992301940918
K07_00,7,7,3,B,1683375127,true,true,2,0.0,7,converged,0.15792107582092285
K07_00,7,7,3,B,893706906,false,false,,7.445761902734914e-05,121,budget_exhausted,12.888469934463501
K07_00,7,7,3,B,1753007184,true,true,6,0.0,7,converged,0.2435319423675537
K07_00,7,7,3,B,2107424273,false,false,,1.9678348530922002e-05,99,budget_exhausted,7.983780860900879
K07_00,7,7,3,B,418825361,false,false,,1.5111831329774802e-05,39,budget_exhausted,4.49705696105957
K07_00,7,7,3,B,215858185,true,false,131,3.420891664797229e-08,51,converged,5.046953916549683
K07_00,7,7,3,B,449904892,false,false,,9.430567262541112e-06,31,budget_exhausted,4.159739971160889
K07_00,7,7,3,B,1667643188,false,false,,1.2713835766420384e-05,21,budget_exhausted,3.579509973526001
K07_01,7,7,3,A,449904892,true,true,23,0.0,7,converged,0.23359322547912598
K07_01,7,7,3,A,1667643188,true,true,63,0.0,7,converged,1.46989107131958
K07_01,7,7,3,B,128182595,false,false,,0.0011827964585407337,61,budget_exhausted,6.748583793640137
K07_01,7,7,3,B,1845143962,true,true,9,0.0,7,converged,0.3654301166534424
K07_01,7,7,3,B,1683375127,true,true,155,0.0,7,converged,6.587742805480957
K07_01,7,7,3,B,893706906,true,true,34,0.0,15,converged,1.3052351474761963
K07_01,7,7,3,B,1753007184,true,true,160,0.0,7,converged,5.558491945266724
K07_01,7,7,3,B,2107424273,true,true,39,0.0,7,converged,1.4106571674346924
K07_01,7,7,3,B,418825361,true,true,119,0.0,7,converged,5.67156195640564
K07_01,7,7,3,B,215858185,false,false,,7.950446644010961e-06,61,budget_exhausted,7.046674013137817
K07_01,7,7,3,B,449904892,false,false,,0.0016375499836622453,69,budget_exhausted,8.29262375831604
K07_01,7,7,3,B,1667643188,true,true,135,0.0,7,converged,5.252373218536377
K07_00,7,7,3,A,1753007184,true,true,97,0.0,7,converged,0.553041934967041
K07_00,7,7,3,A,2107424273,false,false,,0.00011105863304641458,743,budget_exhausted,48.091639041900635
K07_00,7,7,3,A,418825361,false,false,,7.763634512621071e-06,449,budget_exhausted,27.176379919052124
K07_00,7,7,3,A,215858185,false,false,,3.8166476872009915e-06,833,budget_exhausted,10.357667684555054
K07_00,7,7,3,A,449904892,false,false,,1.0000000285239466e-05,209,budget_exhausted,12.780961990356445
K07_00,7,7,3,A,1667643188,false,false,,2.254370262466585e-05,413,budget_exhausted,64.65640926361084
K07_00,7,7,3,B,128182595,false,false,,6.486724695787895e-06,63,budget_exhausted,7.110337018966675
K07_00,7,7,3,B,1845143962,false,false,,0.00037631379618093035,27,budget_exhausted,3.812526226043701
K07_01,7,7,3,A,1753007184,true,true,22,0.0,7,converged,0.2755739688873291
K07_01,7,7,3,A,2107424273,false,false,,3.7871668909257794e-06,59,budget_exhausted,14.574161052703857
K07_01,7,7,3,A,418825361,false,false,,0.16802977420560092,1139,budget_exhausted,30.990323066711426
K07_01,7,7,3,A,215858185,false,false,,0.009989393928627213,75,budget_exhausted,36.63409090042114
K07_01,7,7,3,A,128182595,true,true,1,0.0,7,converged,0.13744831085205078
K07_01,7,7,3,A,1845143962,false,false,,0.20944269425244197,1229,budget_exhausted,98.91707921028137
K07_01,7,7,3,A,1683375127,false,false,,0.02128286735124388,713,budget_exhausted,18.74986696243286
K07_01,7,7,3,A,893706906,true,true,19,0.0,7,converged,0.5420961380004883
K07_03,7,7,3,A,128182595,true,true,0,0.0,7,converged,0.08271312713623047
K07_03,7,7,3,A,1845143962,true,true,0,0.0,7,converged,0.07949614524841309
K07_03,7,7,3,A,1683375127,true,true,0,0.0,7,converged,0.08391189575195312
K07_03,7,7,3,A,893706906,true,true,2,0.0,7,converged,0.17986822128295898
K07_03,7,7,3,A,1753007184,true,true,0,0.0,7,converged,0.08647894859313965
K07_03,7,7,3,A,2107424273,true,true,1,0.0,7,converged,0.1513059139251709
K07_03,7,7,3,A,418825361,true,true,0,0.0,7,converged,0.08236026763916016
K07_03,7,7,3,A,215858185,true,true,5,0.0,7,converged,0.18820619583129883
K07_03,7,7,3,A,449904892,true,true,1,0.0,7,converged,0.1434929370880127
K07_03,7,7,3,A,1667643188,true,true,4,0.0,7,converged,0.14835524559020996
K07_03,7,7,3,B,128182595,true,true,0,0.0,7,converged,0.09006786346435547
K07_03,7,7,3,B,1845143962,true,true,0,0.0,7,converged,0.07698297500610352
K07_03,7,7,3,B,1683375127,true,true,0,0.0,7,converged,0.07940506935119629
K07_03,7,7,3,B,893706906,true,true,37,0.0,7,converged,1.4177618026733398
K07_03,7,7,3,B,1753007184,true,true,0,0.0,7,converged,0.08614897727966309
K07_03,7,7,3,B,2107424273,false,false,,4.550500937625095e-06,45,budget_exhausted,5.157428979873657
K07_03,7,7,3,B,418825361,true,true,0,0.0,7,converged,0.07987141609191895
K07_03,7,7,3,B,215858185,true,true,11,0.0,7,converged,0.410031795501709
K07_03,7,7,3,B,449904892,true,true,75,0.0,7,converged,2.8283028602600098
K07_03,7,7,3,B,1667643188,true,true,35,0.0,7,converged,0.9781801700592041
K07_02,7,7,3,A,128182595,false,false,,9.775077239246317e-06,37,budget_exhausted,7.394721031188965
K07_02,7,7,3,A,1845143962,false,false,,0.019359693109617628,15,budget_exhausted,49.94250798225403
K07_02,7,7,3,A,1683375127,false,false,,9.938334669384657e-06,103,budget_exhausted,20.572414875030518
K07_02,7,7,3,A,893706906,false,false,,0.019359693109617628,15,budget_exhausted,53.991636991500854
K07_02,7,7,3,B,1683375127,false,false,,8.485992643093746e-06,89,budget_exhausted,8.977435827255249
K07_02,7,7,3,B,893706906,false,false,,0.019359693109617628,15,budget_exhausted,47.28666973114014
K07_02,7,7,3,B,1753007184,true,false,88,7.150599350694205e-07,25,converged,15.336726903915405
K07_02,7,7,3,B,2107424273,false,false,,1.0272720592913919e-05,55,budget_exhausted,20.817766904830933
K07_04,7,7,3,A,449904892,false,false,,6.743445716377622e-06,9,budget_exhausted,9.772909164428711
K07_04,7,7,3,A,1667643188,false,false,,9.824736733755307e-06,179,budget_exhausted,10.101845979690552
K07_04,7,7,3,B,128182595,false,false,,8.159090167737639e-06,51,budget_exhausted,6.291046857833862
K07_04,7,7,3,B,1845143962,false,false,,6.743445716377622e-06,9,budget_exhausted,4.724394083023071
K07_02,7,7,3,A,1753007184,false,false,,1.1356121691667793e-05,35,budget_exhausted,9.702517986297607
K07_02,7,7,3,A,2107424273,false,false,,0.019359693109617628,15,budget_exhausted,116.779865026474
K07_02,7,7,3,A,418825361,false,false,,8.97630052731235e-06,85,budget_exhausted,17.4566330909729
K07_02,7,7,3,A,215858185,false,false,,9.892384161768963e-06,267,budget_exhausted,13.966742038726807
K07_02,7,7,3,B,418825361,false,false,,9.712446795731124e-06,57,budget_exhausted,30.9768168926239
K07_02,7,7,3,B,215858185,false,false,,9.11510735974472e-06,45,budget_exhausted,11.980912923812866
K07_02,7,7,3,B,449904892,false,false,,0.019359693109617628,15,budget_exhausted,65.85662484169006
K07_02,7,7,3,B,1667643188,false,false,,1.042969902500338e-05,63,budget_exhausted,11.480726957321167
K07_05,7,7,3,A,128182595,true,true,3,0.0,7,converged,0.1679999828338623
K07_05,7,7,3,A,1845143962,true,true,3,0.0,7,converged,0.18586015701293945
K07_05,7,7,3,A,1683375127,true,true,4,0.0,7,converged,0.16522598266601562
K07_05,7,7,3,A,893706906,true,true,6,0.0,7,converged,0.19652771949768066
K07_05,7,7,3,A,1753007184,true,true,3,0.0,7,converged,0.1450939178466797
K07_05,7,7,3,A,2107424273,true,true,4,0.0,7,converged,0.21228480339050293
K07_05,7,7,3,A,418825361,true,true,8,0.0,7,converged,0.1882162094116211
K07_05,7,7,3,A,215858185,true,true,4,0.0,7,converged,0.19455385208129883
K07_05,7,7,3,A,449904892,true,true,5,0.0,7,converged,0.30304694175720215
K07_05,7,7,3,A,1667643188,true,true,6,0.0,7,converged,0.22199225425720215
K07_05,7,7,3,B,128182595,true,true,26,0.0,7,converged,0.6895339488983154
K07_05,7,7,3,B,1845143962,false,false,,1.1660231446805443e-05,31,budget_exhausted,4.373733043670654
K07_04,7,7,3,B,418825361,false,false,,6.549544099011835e-06,29,budget_exhausted,4.190288066864014
K07_04,7,7,3,B,215858185,false,false,,9.078493129091601e-06,55,budget_exhausted,7.135005950927734
K07_04,7,7,3,B,449904892,false,false,,6.743445716377622e-06,9,budget_exhausted,4.455147981643677
K07_04,7,7,3,B,1667643188,false,false,,6.62419325159795e-06,35,budget_exhausted,4.725083827972412
K07_02,7,7,3,A,449904892,false,false,,9.402849493573913e-06,67,budget_exhausted,14.371299028396606
