K_construction,regime,n_targets,n_runs,conv_rate,wilson_lo,wilson_hi,mean_alpha,mean_gradient_absence,median_gens_to_converge
7,A,31,310,0.6451612903225806,0.5904197278300289,0.6963492680132493,0.47311827956989244,0.4838709677419355,3.0
7,B,31,310,0.43548387096774194,0.38141275528180923,0.4911343576767338,0.47311827956989244,0.4838709677419355,13
9,A,30,300,0.49666666666666665,0.4404895596001963,0.5529280602079671,0.6416666666666667,0.4666666666666667,7
9,B,30,300,0.25333333333333335,0.20744975020452644,0.30545411559958296,0.6416666666666667,0.4666666666666667,37.0
11,A,30,300,0.26,0.21362060325993487,0.3124480229278472,0.5,0.2,8.5
11,B,30,300,0.11333333333333333,0.082244501875291,0.15419939587169124,0.5,0.2,27.0
13,A,30,300,0.06666666666666667,0.043567515545158274,0.10072305951611496,0.5166666666666667,0.36666666666666664,13.0
13,B,30,300,0.016666666666666666,0.00713947735063333,0.0384153948330945,0.5166666666666667,0.36666666666666664,50
15,A,30,300,0.07,0.046236944827176336,0.10463601042593323,0.5857142857142857,0.26666666666666666,12
15,B,30,300,0.02666666666666667,0.01357306980864708,0.05172894295058982,0.5857142857142857,0.26666666666666666,31.5
17,A,30,300,0.04,0.023027321487942308,0.06860421203864003,0.6333333333333333,0.3,16.0
17,B,30,300,0.02,0.009197631557703617,0.042939620817860576,0.6333333333333333,0.3,49.5
19,A,30,300,0.006666666666666667,0.0018301483579117855,0.023977583250306973,0.5740740740740741,0.23333333333333334,60.5
19,B,30,300,0.0,8.673617379884035e-19,0.012642971224546034,0.5740740740740741,0.23333333333333334,
21,A,30,300,0.013333333333333334,0.005196961739358857,0.03377553025253262,0.56,0.1,20.5
21,B,30,300,0.016666666666666666,0.00713947735063333,0.0384153948330945,0.56,0.1,58
23,A,30,300,0.013333333333333334,0.005196961739358857,0.03377553025253262,0.48787878787878786,0.23333333333333334,37.5
23,B,30,300,0.0,8.673617379884035e-19,0.012642971224546034,0.48787878787878786,0.23333333333333334,
25,A,30,300,0.0033333333333333335,0.0005886577218511581,0.018636693694531237,0.5111111111111111,0.23333333333333334,195
25,B,30,300,0.0,8.673617379884035e-19,0.012642971224546034,0.5111111111111111,0.23333333333333334,
27,A,30,300,0.0033333333333333335,0.0005886577218511581,0.018636693694531237,0.5,0.06666666666666667,92
27,B,30,300,0.0,8.673617379884035e-19,0.012642971224546034,0.5,0.06666666666666667,
29,A,30,300,0.0,8.673617379884035e-19,0.012642971224546034,0.5523809523809524,0.16666666666666666,
29,B,30,300,0.0,8.673617379884035e-19,0.012642971224546034,0.5523809523809524,0.16666666666666666,
31,A,30,300,0.0,8.673617379884035e-19,0.012642971224546034,0.5133333333333333,0.1,
31,B,30,300,0.0,8.673617379884035e-19,0.012642971224546034,0.5133333333333333,0.1,
