K_construction,regime,n_targets,n_runs,conv_rate,wilson_lo,wilson_hi,mean_alpha,mean_gradient_absence,median_gens_to_converge
11,A,5,50,0.38,0.25862789310193596,0.5184955306900703,0.8,1.0,13
11,B,5,50,0.18,0.09770192670234178,0.30796053674300783,0.8,1.0,54
13,A,3,30,0.03333333333333333,0.005908590381612455,0.16670390991409173,0.8333333333333334,1.0,13
13,B,3,30,0.1,0.03459988874733419,0.25621082579184085,0.8333333333333334,1.0,120
15,A,3,30,0.0,0.0,0.11351339317396876,0.8571428571428571,1.0,
15,B,3,30,0.0,0.0,0.11351339317396876,0.8571428571428571,1.0,
19,A,4,40,0.0,0.0,0.08762160119728664,0.8888888888888888,1.0,
19,B,4,40,0.0,0.0,0.08762160119728664,0.8888888888888888,1.0,
21,A,6,60,0.0,0.0,0.06017185214208986,0.7833333333333333,1.0,
21,B,6,60,0.0,0.0,0.06017185214208986,0.7833333333333333,1.0,
23,A,4,40,0.0,0.0,0.08762160119728664,0.7954545454545454,1.0,
23,B,4,40,0.0,0.0,0.08762160119728664,0.7954545454545454,1.0,
25,A,3,30,0.0,0.0,0.11351339317396876,0.8055555555555556,1.0,
25,B,3,30,0.0,0.0,0.11351339317396876,0.8055555555555556,1.0,
27,A,6,60,0.0,0.0,0.06017185214208986,0.717948717948718,1.0,
27,B,6,60,0.0,0.0,0.06017185214208986,0.717948717948718,1.0,
29,A,3,30,0.0,0.0,0.11351339317396876,0.5952380952380952,1.0,
29,B,3,30,0.0,0.0,0.11351339317396876,0.5952380952380952,1.0,
31,A,6,60,0.0,0.0,0.06017185214208986,0.8333333333333334,1.0,
31,B,6,60,0.0,0.0,0.06017185214208986,0.8333333333333334,1.0,
