target_id,K_construction,K_proven,m_operators,expression,alpha_rigidity,gradient_absence_g,best_proper_subtree_nmse,n_crit,rigid_subset,overflow_fraction,domain_lo,domain_hi,n_points
reviewer_ce,7,7,3,"eml(x, eml(eml(x, x), x))",1.0,true,9748.44426395251,3.0,true,0.0,2.0,3.0,100
K07_00,7,7,3,"eml(x, eml(1, eml(1, 1)))",0.0,false,7.869221075850845,0.0,false,0.0,2.0,3.0,100
K07_01,7,7,3,"eml(eml(1, eml(x, x)), 1)",0.6666666666666666,true,7.219395056538572,2.0,true,0.0,2.0,3.0,100
K07_02,7,7,3,"eml(eml(eml(1, x), x), 1)",0.0,false,2.293867358893254,0.0,false,0.0,2.0,3.0,100
K07_03,7,7,3,"eml(eml(1, 1), eml(1, x))",1.0,false,34582.546432577925,3.0,false,0.0,2.0,3.0,100
K07_04,7,7,3,"eml(x, eml(x, eml(1, x)))",0.0,false,0.33026159958449053,0.0,false,0.0,2.0,3.0,100
K07_05,7,7,3,"eml(1, eml(x, eml(1, 1)))",0.6666666666666666,true,60.60289700953341,2.0,true,0.0,2.0,3.0,100
K07_06,7,7,3,"eml(x, eml(eml(1, x), 1))",0.0,false,3.0405030032565943,0.0,false,0.0,2.0,3.0,100
K07_07,7,7,3,"eml(x, eml(eml(x, x), 1))",1.0,true,9722.27156319603,3.0,true,0.0,2.0,3.0,100
K07_08,7,7,3,"eml(1, eml(eml(1, x), x))",1.0,true,24.53166304467757,3.0,true,0.0,2.0,3.0,100
K07_09,7,7,3,"eml(x, eml(eml(1, 1), 1))",0.0,false,3.079344572045852,0.0,false,0.0,2.0,3.0,100
K07_10,7,7,3,"eml(eml(1, x), eml(1, 1))",0.6666666666666666,false,12.54511024521689,2.0,false,0.0,2.0,3.0,100
K07_11,7,7,3,"eml(eml(1, eml(1, 1)), x)",1.0,false,285.7162115499997,3.0,false,0.0,2.0,3.0,100
K07_12,7,7,3,"eml(x, eml(1, eml(x, x)))",0.0,false,0.42359976275117295,0.0,false,0.0,2.0,3.0,100
K07_13,7,7,3,"eml(1, eml(1, eml(x, x)))",0.0,true,6.578185216650624,0.0,false,0.0,2.0,3.0,100
K07_14,7,7,3,"eml(x, eml(eml(1, 1), x))",0.0,false,2.431203003491701,0.0,false,0.0,2.0,3.0,100
K07_15,7,7,3,"eml(eml(1, eml(x, 1)), x)",1.0,false,0.2935143518358718,3.0,false,0.0,2.0,3.0,100
K07_16,7,7,3,"eml(x, eml(x, eml(x, 1)))",0.0,false,0.005245988463611077,0.0,false,0.0,2.0,3.0,100
K07_17,7,7,3,"eml(eml(eml(1, x), 1), 1)",0.0,false,2.750888939782477,0.0,false,0.0,2.0,3.0,100
K07_18,7,7,3,"eml(eml(1, x), eml(1, x))",0.6666666666666666,true,33.84016756793297,2.0,true,0.0,2.0,3.0,100
K07_19,7,7,3,"eml(eml(1, x), eml(x, 1))",0.6666666666666666,true,4.158304902331684,2.0,true,0.0,2.0,3.0,100
K07_20,7,7,3,"eml(x, eml(1, eml(1, x)))",0.0,true,8.518765169020261,0.0,false,0.0,2.0,3.0,100
K07_21,7,7,3,"eml(eml(1, 1), eml(x, 1))",1.0,false,184.34767393000368,3.0,false,0.0,2.0,3.0,100
K07_22,7,7,3,"eml(eml(1, x), eml(x, x))",0.6666666666666666,true,4.364176952258248,2.0,true,0.0,2.0,3.0,100
K07_23,7,7,3,"eml(x, eml(x, eml(1, 1)))",0.0,false,0.19302141689884733,0.0,false,0.0,2.0,3.0,100
K07_24,7,7,3,"eml(1, eml(x, eml(1, x)))",0.6666666666666666,true,25.472031346791844,2.0,true,0.0,2.0,3.0,100
K07_25,7,7,3,"eml(eml(1, eml(1, x)), x)",1.0,true,164.94038887609568,3.0,true,0.0,2.0,3.0,100
K07_26,7,7,3,"eml(1, eml(1, eml(x, 1)))",0.0,true,6.819192531825802,0.0,false,0.0,2.0,3.0,100
K07_27,7,7,3,"eml(eml(1, eml(1, x)), 1)",1.0,true,138.98758109940093,3.0,true,0.0,2.0,3.0,100
K07_28,7,7,3,"eml(x, eml(1, eml(x, 1)))",0.0,false,0.309536496230013,0.0,false,0.0,2.0,3.0,100
K07_29,7,7,3,"eml(x, eml(eml(x, 1), x))",1.0,true,19295770651.597775,3.0,true,0.0,2.0,3.0,100
K09_00,9,9,4,"eml(eml(eml(1, x), eml(x, x)), x)",0.25,false,1.7316369518525379,1.0,false,0.0,2.0,3.0,100
K09_01,9,9,4,"eml(1, eml(1, eml(1, eml(1, x))))",1.0,false,36.220485426913896,4.0,false,0.0,2.0,3.0,100
K09_02,9,9,4,"eml(x, eml(eml(1, eml(x, x)), x))",0.0,false,0.3434985472402405,0.0,false,0.0,2.0,3.0,100
K09_03,9,9,4,"eml(eml(eml(1, 1), eml(1, 1)), x)",1.0,false,147881892477596.72,4.0,false,0.0,2.0,3.0,100
K09_04,9,9,4,"eml(eml(eml(1, eml(x, 1)), 1), 1)",0.5,true,3.5915318780384835,2.0,true,0.0,2.0,3.0,100
K09_05,9,9,4,"eml(1, eml(x, eml(1, eml(1, 1))))",0.5,true,24.524762472794283,2.0,true,0.0,2.0,3.0,100
K09_06,9,9,4,"eml(1, eml(1, eml(eml(1, 1), x)))",1.0,false,437.9433199684301,4.0,false,0.0,2.0,3.0,100
K09_07,9,9,4,"eml(eml(1, eml(x, eml(x, 1))), 1)",0.5,true,5.104074883642874,2.0,true,0.0,2.0,3.0,100
K09_08,9,9,4,"eml(1, eml(x, eml(eml(1, 1), x)))",0.5,true,37.43580047677462,2.0,true,0.0,2.0,3.0,100
K09_09,9,9,4,"eml(eml(eml(1, 1), 1), eml(x, 1))",1.0,false,178110015931449.66,4.0,false,0.0,2.0,3.0,100
K09_10,9,9,4,"eml(eml(eml(1, eml(x, 1)), x), x)",0.75,false,0.4035013878018707,3.0,false,0.0,2.0,3.0,100
K09_11,9,9,4,"eml(eml(1, x), eml(1, eml(1, 1)))",0.5,false,17.326466087023967,2.0,false,0.0,2.0,3.0,100
