target_id,K_construction,depth,var_target,target_scale,alpha_rigidity_median_rule,alpha_rigidity_min_rule,alpha_rigidity_swap_rule,trivial_leaf_nmse,grid_hash
K03_00,3,2,12.132399420784443,18.792344967958226,0.0,0.0,0.0,7.936929168715837,773ee12b20510047d37d986394242426bcc5949a
K03_01,3,2,12.935998848502534,19.887651468491836,0.0,0.0,1.0,8.86955018967243,64b6cff929364a19bf3752441c965b19c4d82e7d
K03_02,3,2,0.013314094935341478,2.020196366258517,1.0,1.0,1.0,47.98623434955522,a05644c967af8189c07fd04b9b2c6800e52d8aaa
K05_00,5,3,10.896148759065026,16.95420186413267,0.0,0.0,0.5,6.368443663168038,346586b372424262da753a5133d01b0056b0a3eb
K05_01,5,3,10.978280534051486,16.897552458590845,0.0,0.0,0.5,6.21784547520828,29cb176986bae171eaa0998d98eba99bd09e3cd6
K05_02,5,3,13.393148101982181,19.40339038159961,0.0,0.0,0.0,7.726008791814256,ca1f336578b88e7f9407cd4d6245bdc1f349a9a9
K05_03,5,3,12.935998848502534,18.887651468491836,0.0,0.0,0.0,7.371996342134549,9547b92d3c7e5c9e352e86f32ada8b2002a4020c
K05_04,5,3,0.08899069055401884,1.0,1.0,0.0,0.5,6.564730672752641,58cc96e75107b72d671f864f9e0fa7317898f354
K05_05,5,3,0.08168316831683164,1.0,1.0,0.0,1.0,8.481141002600092,f2db1da8cd7d4c5e6b0141aa2a567acd341b24d5
K05_06,5,3,0.0040575056696615245,2.234020741566821,1.0,1.0,1.0,46.31040114574473,4eb9d4044f217d520eb7717bad0b951fea591bb1
K05_07,5,3,0.686941844091526,6.84171988947142,1.0,0.5,1.0,12.679953193252778,c5d3255acfa6b0aa5746611a9f18f065e9650545
K05_08,5,3,0.5091769317007916,7.539805351671948,1.0,0.5,1.0,28.019480901644947,ff3cde693621a4d0bddbd73ac004ee4102fa8242
K05_09,5,3,0.013314094935341502,14.456176779278735,1.0,1.0,0.5,10372.175526928015,764ad8288d5d15cc35eca4ffebef7a6148f01a94
